name	search_text	ric	boost
Altice USA Inc	ATUS Altice Altice USA Altice USA Inc	ATUS.N	1.582925651
Citizens Financial Group Inc	CFG Citizens Citizens Financial Citizens Financial Group Citizens Financial Group Inc	CFG.N	1.579274709
Cooper Companies Inc	COO Cooper Cooper Companies Cooper Companies Inc	COO.N	1.57541224
Equifax Inc	EFX Equifax Equifax Inc	EFX.N	1.5718757209999998
Avangrid Inc	AGR Avangrid Avangrid Inc	AGR.N	1.566429305
International Flavors & Fragrances Inc	IFF International International Flavors International Flavors & International Flavors & Fragrances International Flavors & Fragrances Inc	IFF.N	1.564089564
Nasdaq Inc	NDAQ Nasdaq Nasdaq Inc	NDAQ.OQ	1.562612076
Garmin Ltd	GRMN Garmin Garmin Ltd	GRMN.OQ	1.557194863
Keysight Technologies Inc	KEYS Keysight Keysight Technologies Keysight Technologies Inc	KEYS.N	1.554216878
Nucor Corp	NUE Nucor Nucor Corp	NUE.N	1.552548188
Marvell Technology Group Ltd	MRVL Marvell Marvell Technology Marvell Technology Group Marvell Technology Group Ltd	MRVL.OQ	1.5519761140000001
Principal Financial Group Inc	PFG Principal Principal Financial Principal Financial Group Principal Financial Group Inc	PFG.OQ	1.534437764
Yum China Holdings Inc	YUMC Yum Yum China Yum China Holdings Yum China Holdings Inc	YUMC.N	1.5339617190000001
Freeport-McMoRan Inc	FCX Freeport-McMoRan Freeport-McMoRan Inc	FCX.N	1.5221840119999999
Invitation Homes Inc	INVH Invitation Invitation Homes Invitation Homes Inc	INVH.N	1.520277005
HCP Inc	HCP HCP HCP Inc	HCP.N	1.512681615
Maxim Integrated Products Inc	MXIM Maxim Maxim Integrated Maxim Integrated Products Maxim Integrated Products Inc	MXIM.OQ	1.5044654469999998
CDW Corp	CDW CDW CDW Corp	CDW.OQ	1.499727045
Broadridge Financial Solutions Inc	BR Broadridge Broadridge Financial Broadridge Financial Solutions Broadridge Financial Solutions Inc	BR.N	1.4892973719999998
W W Grainger Inc	GWW W W W W W Grainger W W Grainger Inc	GWW.N	1.4878330709999998
NetApp Inc	NTAP NetApp NetApp Inc	NTAP.OQ	1.483882577
Markel Corp	MKL Markel Markel Corp	MKL.N	1.4838620869999999
Genuine Parts Co	GPC Genuine Genuine Parts Genuine Parts Co	GPC.N	1.4813047959999999
CenterPoint Energy Inc	CNP CenterPoint CenterPoint Energy CenterPoint Energy Inc	CNP.N	1.465543415
Pinterest Inc	PINS Pinterest Pinterest Inc	PINS.N	1.465203087
MGM Resorts International	MGM MGM MGM Resorts MGM Resorts International	MGM.N	1.464025858
HEICO Corp	HEI HEICO HEICO Corp	HEI.N	1.462640926
Evergy Inc	EVRG Evergy Evergy Inc	EVRG.N	1.459145474
Regions Financial Corp	RF Regions Regions Financial Regions Financial Corp	RF.N	1.456534194
Teleflex Inc	TFX Teleflex Teleflex Inc	TFX.N	1.456281331
Okta Inc	OKTA Okta Okta Inc	OKTA.OQ	1.45015764
Darden Restaurants Inc	DRI Darden Darden Restaurants Darden Restaurants Inc	DRI.N	1.450109425
Xylem Inc	XYL Xylem Xylem Inc	XYL.N	1.437421425
WP Carey Inc	WPC WP WP Carey WP Carey Inc	WPC.N	1.435445846
American Airlines Group Inc	AAL American American Airlines American Airlines Group American Airlines Group Inc	AAL.OQ	1.4323219319999998
Conagra Brands Inc	CAG Conagra Conagra Brands Conagra Brands Inc	CAG.N	1.430540444
Wayfair Inc	W Wayfair Wayfair Inc	W.N	1.4284939319999999
Biomarin Pharmaceutical Inc	BMRN Biomarin Biomarin Pharmaceutical Biomarin Pharmaceutical Inc	BMRN.OQ	1.42630351
Discovery Inc	DISCA Discovery Discovery Inc	DISCA.OQ	1.4250686680000002
WellCare Health Plans Inc	WCG WellCare WellCare Health WellCare Health Plans WellCare Health Plans Inc	WCG.N	1.42319053
Arch Capital Group Ltd	ACGL Arch Arch Capital Arch Capital Group Arch Capital Group Ltd	ACGL.OQ	1.414787675
SS&C Technologies Holdings Inc	SSNC SS&C SS&C Technologies SS&C Technologies Holdings SS&C Technologies Holdings Inc	SSNC.OQ	1.4103746830000001
Gartner Inc	IT Gartner Gartner Inc	IT.N	1.4076235609999999
Exact Sciences Corp	EXAS Exact Exact Sciences Exact Sciences Corp	EXAS.OQ	1.396817386
Waters Corp	WAT Waters Waters Corp	WAT.N	1.390955774
Tableau Software Inc	DATA Tableau Tableau Software Tableau Software Inc	DATA.N	1.3861699330000001
J M Smucker Co	SJM J J M J M Smucker J M Smucker Co	SJM.N	1.381962069
Martin Marietta Materials Inc	MLM Martin Martin Marietta Martin Marietta Materials Martin Marietta Materials Inc	MLM.N	1.381344748
Huntington Bancshares Inc	HBAN Huntington Huntington Bancshares Huntington Bancshares Inc	HBAN.OQ	1.377464356
Dover Corp	DOV Dover Dover Corp	DOV.N	1.3756277019999998
Chewy Inc	CHWY Chewy Chewy Inc	CHWY.N	1.374170965
Carmax Inc	KMX Carmax Carmax Inc	KMX.N	1.370169199
